"Reference","Value","Footprint","LCSC"
"B1","BUTTON-4p5X4p5","TIS_Footprints:BUTTON-4p5X4p5","C410371"
"C1","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C2","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C3","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C4","C-1u-0603","TIS_Footprints:PAD_0603","C15849"
"C5","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C6","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C7","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C8","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C9","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C10","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C11","C-10u-0603","TIS_Footprints:PAD_0603","C96446"
"C12","C-10u-0603","TIS_Footprints:PAD_0603","C96446"
"C13","C-10u-0603","TIS_Footprints:PAD_0603","C96446"
"C14","C-10u-0603","TIS_Footprints:PAD_0603","C96446"
"C15","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C16","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C17","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C18","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C19","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C20","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C21","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C22","C-22u-0603","TIS_Footprints:PAD_0603","C59461"
"C23","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C24","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C25","C-1u-0603","TIS_Footprints:PAD_0603","C15849"
"C26","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C27","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C28","C-0.1-0603","TIS_Footprints:C_0603","C14663"
"C29","C-10u-0603","TIS_Footprints:PAD_0603","C96446"
"C30","C-4.7p-0603","TIS_Footprints:C_0603","C1669"
"C31","C-4.7p-0603","TIS_Footprints:C_0603","C1669"
